id,gender,age,condition,large_item1,large_item2,large_item3,large_item4,large_item5,large_item6,large_item7,medium_item1,medium_item2,medium_item3,medium_item4,medium_item5,medium_item6,medium_item7,small_item1,small_item2,small_item3,small_item4,small_item5,small_item6,small_item7
1,male,36,category,8,7,6,6,4,1,2,9,7,5,6,4,4,2,8,7,6,6,5,6,3
2,male,46,category,9,9,8,8,8,8,8,9,9,7,7,7,7,7,7,5,5,5,5,5,5
3,female,33,property,8,9,9,2,1,0,1,6,9,8,5,2,4,0,8,7,7,4,4,4,4
4,female,71,property,9,8,3,2,1,0,0,7,8,5,3,2,1,0,6,7,6,6,3,1,3
5,female,23,property,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,female,31,category,9,9,8,8,7,7,7,8,9,8,7,8,8,8,7,7,7,8,8,9,9
7,male,23,property,8,7,6,2,1,1,0,8,7,5,2,2,1,0,6,7,5,4,3,2,2
8,female,31,property,8,8,7,7,1,0,0,7,8,5,3,1,2,1,4,4,2,4,4,4,4
9,female,37,category,9,8,1,0,0,0,0,9,9,3,2,0,0,0,9,9,7,5,0,0,0
10,female,46,category,9,9,8,6,9,8,9,6,6,5,4,4,4,4,8,6,4,4,4,4,2
11,male,27,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,8,9,9,9,9,9
12,female,30,property,8,7,2,1,1,1,0,7,6,6,1,1,3,1,9,9,8,9,9,9,9
13,female,22,category,9,9,9,4,4,4,4,1,2,5,6,6,7,9,0,1,3,5,5,7,8
14,female,31,category,9,8,7,5,1,0,0,9,7,2,2,1,0,0,9,6,4,0,1,0,0
15,female,20,category,9,7,6,5,1,1,2,7,7,3,3,4,1,0,8,8,9,3,6,2,2
16,female,20,property,8,6,6,5,2,1,1,7,7,5,3,2,2,1,6,7,7,4,2,2,1
17,female,34,property,8,8,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,male,33,category,6,8,6,5,4,1,0,9,9,8,5,0,1,0,8,8,7,8,8,8,3
19,male,35,property,0,1,2,2,3,3,7,0,1,1,1,3,4,4,0,1,2,3,3,7,6
20,male,36,category,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,8,7,7,7,7
21,male,24,property,8,5,6,6,2,1,1,8,6,3,3,1,1,2,4,4,4,6,4,4,4
22,male,71,property,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,7,7,7,6
23,female,32,property,9,9,8,1,0,0,0,9,9,8,1,0,0,0,9,9,1,0,0,0,0
24,male,35,property,9,9,0,0,0,0,0,7,7,0,0,0,0,0,9,9,9,9,9,4,4
25,female,27,category,9,7,8,6,3,3,2,9,7,6,6,3,2,1,8,7,6,5,2,3,2
26,female,26,category,9,8,3,2,1,0,0,8,8,2,1,1,1,0,6,8,8,4,1,1,0
27,male,28,category,3,4,5,4,4,7,4,0,1,1,4,3,2,6,2,5,4,3,3,5,6
28,male,69,property,8,8,7,2,2,0,0,8,7,7,5,3,4,1,7,7,7,7,9,7,7
29,female,25,category,9,4,0,0,0,0,0,9,5,2,1,0,0,0,7,8,6,6,1,3,2
30,male,29,property,5,7,6,4,2,1,1,7,6,6,6,3,2,2,5,5,5,5,4,5,4
31,female,44,category,1,3,3,6,6,6,7,1,2,3,6,7,7,7,1,2,3,2,7,5,7
32,male,42,category,8,7,6,3,1,1,2,8,7,3,3,1,2,1,7,7,7,6,5,4,4
33,female,32,property,5,7,5,6,2,0,1,6,5,4,6,5,7,2,8,3,5,7,5,4,9
